類別：所有類別

天,長榮: (台灣)
2023-10-05,17
2023-10-06,18
2023-10-07,11
2023-10-08,12
2023-10-09,11
2023-10-10,12
2023-10-11,19
2023-10-12,18
2023-10-13,17
2023-10-14,12
2023-10-15,13
2023-10-16,21
2023-10-17,20
2023-10-18,19
2023-10-19,18
2023-10-20,21
2023-10-21,18
2023-10-22,19
2023-10-23,21
2023-10-24,18
2023-10-25,17
2023-10-26,18
2023-10-27,16
2023-10-28,12
2023-10-29,11
2023-10-30,100
2023-10-31,17
2023-11-01,17
