類別：所有類別

天,邦特: (台灣)
2023-10-06,49
2023-10-07,75
2023-10-08,0
2023-10-09,0
2023-10-10,37
2023-10-11,0
2023-10-12,25
2023-10-13,49
2023-10-14,39
2023-10-15,57
2023-10-16,0
2023-10-17,95
2023-10-18,62
2023-10-19,63
2023-10-20,40
2023-10-21,31
2023-10-22,32
2023-10-23,35
2023-10-24,69
2023-10-25,59
2023-10-26,28
2023-10-27,0
2023-10-28,0
2023-10-29,49
2023-10-30,0
2023-10-31,0
2023-11-01,100
2023-11-02,89
