類別：所有類別

天,國建: (台灣)
2023-10-05,50
2023-10-06,59
2023-10-07,59
2023-10-08,33
2023-10-09,0
2023-10-10,34
2023-10-11,46
2023-10-12,45
2023-10-13,22
2023-10-14,47
2023-10-15,21
2023-10-16,100
2023-10-17,0
2023-10-18,31
2023-10-19,49
2023-10-20,42
2023-10-21,77
2023-10-22,18
2023-10-23,99
2023-10-24,77
2023-10-25,45
2023-10-26,80
2023-10-27,72
2023-10-28,21
2023-10-29,0
2023-10-30,0
2023-10-31,71
2023-11-01,50
