類別：所有類別

天,雄獅: (台灣)
2023-10-05,85
2023-10-06,85
2023-10-07,83
2023-10-08,70
2023-10-09,72
2023-10-10,77
2023-10-11,100
2023-10-12,86
2023-10-13,80
2023-10-14,71
2023-10-15,73
2023-10-16,87
2023-10-17,80
2023-10-18,78
2023-10-19,87
2023-10-20,82
2023-10-21,66
2023-10-22,68
2023-10-23,88
2023-10-24,86
2023-10-25,82
2023-10-26,88
2023-10-27,81
2023-10-28,60
2023-10-29,60
2023-10-30,0
2023-10-31,80
2023-11-01,79
