類別：所有類別

天,新纖: (台灣)
2023-10-04,29
2023-10-05,0
2023-10-06,19
2023-10-07,0
2023-10-08,0
2023-10-09,25
2023-10-10,25
2023-10-11,28
2023-10-12,20
2023-10-13,34
2023-10-14,21
2023-10-15,37
2023-10-16,0
2023-10-17,0
2023-10-18,100
2023-10-19,24
2023-10-20,45
2023-10-21,33
2023-10-22,0
2023-10-23,56
2023-10-24,0
2023-10-25,0
2023-10-26,19
2023-10-27,0
2023-10-28,0
2023-10-29,0
2023-10-30,0
2023-10-31,42
