類別：所有類別

天,福懋: (台灣)
2023-10-04,51
2023-10-05,69
2023-10-06,51
2023-10-07,30
2023-10-08,28
2023-10-09,56
2023-10-10,40
2023-10-11,37
2023-10-12,91
2023-10-13,54
2023-10-14,27
2023-10-15,39
2023-10-16,62
2023-10-17,68
2023-10-18,59
2023-10-19,32
2023-10-20,73
2023-10-21,66
2023-10-22,43
2023-10-23,67
2023-10-24,34
2023-10-25,100
2023-10-26,51
2023-10-27,31
2023-10-28,49
2023-10-29,0
2023-10-30,0
2023-10-31,92
