類別：所有類別

天,振發: (台灣)
2023-10-06,67
2023-10-07,0
2023-10-08,0
2023-10-09,0
2023-10-10,0
2023-10-11,0
2023-10-12,38
2023-10-13,0
2023-10-14,0
2023-10-15,0
2023-10-16,0
2023-10-17,22
2023-10-18,17
2023-10-19,0
2023-10-20,31
2023-10-21,0
2023-10-22,0
2023-10-23,0
2023-10-24,100
2023-10-25,0
2023-10-26,0
2023-10-27,15
2023-10-28,19
2023-10-29,40
2023-10-30,0
2023-10-31,37
2023-11-01,73
2023-11-02,19
