類別：所有類別

天,佳總: (台灣)
2023-10-06,43
2023-10-07,0
2023-10-08,28
2023-10-09,0
2023-10-10,44
2023-10-11,0
2023-10-12,0
2023-10-13,0
2023-10-14,29
2023-10-15,17
2023-10-16,42
2023-10-17,0
2023-10-18,45
2023-10-19,0
2023-10-20,0
2023-10-21,28
2023-10-22,0
2023-10-23,49
2023-10-24,23
2023-10-25,39
2023-10-26,0
2023-10-27,0
2023-10-28,20
2023-10-29,70
2023-10-30,0
2023-10-31,0
2023-11-01,100
2023-11-02,22
