類別：所有類別

天,新復興: (台灣)
2023-10-06,40
2023-10-07,100
2023-10-08,55
2023-10-09,66
2023-10-10,52
2023-10-11,53
2023-10-12,15
2023-10-13,56
2023-10-14,21
2023-10-15,53
2023-10-16,57
2023-10-17,51
2023-10-18,0
2023-10-19,62
2023-10-20,32
2023-10-21,65
2023-10-22,84
2023-10-23,94
2023-10-24,98
2023-10-25,44
2023-10-26,76
2023-10-27,14
2023-10-28,48
2023-10-29,27
2023-10-30,0
2023-10-31,78
2023-11-01,79
2023-11-02,56
