類別：所有類別

天,富采: (台灣)
2023-10-06,64
2023-10-07,34
2023-10-08,27
2023-10-09,33
2023-10-10,36
2023-10-11,22
2023-10-12,59
2023-10-13,60
2023-10-14,30
2023-10-15,64
2023-10-16,35
2023-10-17,90
2023-10-18,35
2023-10-19,50
2023-10-20,66
2023-10-21,78
2023-10-22,50
2023-10-23,34
2023-10-24,48
2023-10-25,100
2023-10-26,0
2023-10-27,0
2023-10-28,32
2023-10-29,0
2023-10-30,0
2023-10-31,58
2023-11-01,52
2023-11-02,42
