類別：所有類別

天,立端: (台灣)
2023-10-07,0
2023-10-08,0
2023-10-09,72
2023-10-10,35
2023-10-11,74
2023-10-12,100
2023-10-13,25
2023-10-14,0
2023-10-15,0
2023-10-16,40
2023-10-17,25
2023-10-18,29
2023-10-19,43
2023-10-20,55
2023-10-21,0
2023-10-22,0
2023-10-23,56
2023-10-24,79
2023-10-25,64
2023-10-26,72
2023-10-27,0
2023-10-28,92
2023-10-29,0
2023-10-30,0
2023-10-31,20
2023-11-01,29
2023-11-02,45
2023-11-03,66
