類別：所有類別

天,裕隆: (台灣)
2023-10-05,48
2023-10-06,58
2023-10-07,72
2023-10-08,100
2023-10-09,90
2023-10-10,66
2023-10-11,50
2023-10-12,53
2023-10-13,54
2023-10-14,59
2023-10-15,49
2023-10-16,47
2023-10-17,58
2023-10-18,78
2023-10-19,66
2023-10-20,51
2023-10-21,78
2023-10-22,56
2023-10-23,43
2023-10-24,32
2023-10-25,38
2023-10-26,40
2023-10-27,37
2023-10-28,41
2023-10-29,42
2023-10-30,0
2023-10-31,32
2023-11-01,25
