類別：所有類別

天,安克: (台灣)
2023-10-06,23
2023-10-07,39
2023-10-08,23
2023-10-09,20
2023-10-10,23
2023-10-11,27
2023-10-12,37
2023-10-13,48
2023-10-14,42
2023-10-15,30
2023-10-16,48
2023-10-17,26
2023-10-18,43
2023-10-19,45
2023-10-20,45
2023-10-21,20
2023-10-22,26
2023-10-23,26
2023-10-24,25
2023-10-25,21
2023-10-26,20
2023-10-27,41
2023-10-28,21
2023-10-29,32
2023-10-30,0
2023-10-31,47
2023-11-01,49
2023-11-02,100
