類別：所有類別

天,台中銀: (台灣)
2023-10-05,60
2023-10-06,41
2023-10-07,35
2023-10-08,28
2023-10-09,0
2023-10-10,36
2023-10-11,91
2023-10-12,73
2023-10-13,70
2023-10-14,53
2023-10-15,13
2023-10-16,85
2023-10-17,92
2023-10-18,43
2023-10-19,70
2023-10-20,61
2023-10-21,22
2023-10-22,30
2023-10-23,80
2023-10-24,74
2023-10-25,15
2023-10-26,40
2023-10-27,51
2023-10-28,0
2023-10-29,19
2023-10-30,0
2023-10-31,100
2023-11-01,63
