類別：所有類別

天,大學光: (台灣)
2023-10-06,46
2023-10-07,40
2023-10-08,19
2023-10-09,96
2023-10-10,53
2023-10-11,66
2023-10-12,100
2023-10-13,27
2023-10-14,37
2023-10-15,48
2023-10-16,39
2023-10-17,79
2023-10-18,73
2023-10-19,50
2023-10-20,54
2023-10-21,14
2023-10-22,47
2023-10-23,81
2023-10-24,67
2023-10-25,65
2023-10-26,92
2023-10-27,84
2023-10-28,0
2023-10-29,23
2023-10-30,0
2023-10-31,88
2023-11-01,62
2023-11-02,20
