類別：所有類別

天,宅配通: (台灣)
2023-10-05,44
2023-10-06,62
2023-10-07,60
2023-10-08,36
2023-10-09,30
2023-10-10,30
2023-10-11,87
2023-10-12,100
2023-10-13,79
2023-10-14,36
2023-10-15,23
2023-10-16,70
2023-10-17,64
2023-10-18,61
2023-10-19,45
2023-10-20,48
2023-10-21,39
2023-10-22,14
2023-10-23,51
2023-10-24,57
2023-10-25,51
2023-10-26,57
2023-10-27,41
2023-10-28,25
2023-10-29,28
2023-10-30,0
2023-10-31,36
2023-11-01,45
