類別：所有類別

天,三星: (台灣)
2023-10-06,83
2023-10-07,100
2023-10-08,88
2023-10-09,93
2023-10-10,87
2023-10-11,89
2023-10-12,87
2023-10-13,91
2023-10-14,97
2023-10-15,90
2023-10-16,80
2023-10-17,85
2023-10-18,85
2023-10-19,77
2023-10-20,78
2023-10-21,93
2023-10-22,80
2023-10-23,85
2023-10-24,90
2023-10-25,84
2023-10-26,79
2023-10-27,84
2023-10-28,89
2023-10-29,83
2023-10-30,0
2023-10-31,78
2023-11-01,92
2023-11-02,85
