類別：所有類別

天,大東: (台灣)
2023-10-04,26
2023-10-05,22
2023-10-06,44
2023-10-07,48
2023-10-08,58
2023-10-09,100
2023-10-10,59
2023-10-11,32
2023-10-12,22
2023-10-13,61
2023-10-14,32
2023-10-15,24
2023-10-16,46
2023-10-17,29
2023-10-18,26
2023-10-19,36
2023-10-20,51
2023-10-21,35
2023-10-22,32
2023-10-23,29
2023-10-24,37
2023-10-25,25
2023-10-26,37
2023-10-27,68
2023-10-28,43
2023-10-29,18
2023-10-30,0
2023-10-31,24
