類別：所有類別

天,富邦金: (台灣)
2023-10-05,46
2023-10-06,73
2023-10-07,19
2023-10-08,15
2023-10-09,13
2023-10-10,14
2023-10-11,83
2023-10-12,81
2023-10-13,91
2023-10-14,22
2023-10-15,10
2023-10-16,81
2023-10-17,67
2023-10-18,78
2023-10-19,73
2023-10-20,62
2023-10-21,14
2023-10-22,24
2023-10-23,100
2023-10-24,85
2023-10-25,69
2023-10-26,88
2023-10-27,57
2023-10-28,0
2023-10-29,8
2023-10-30,0
2023-10-31,60
2023-11-01,65
