類別：所有類別

天,萬海: (台灣)
2023-10-05,35
2023-10-06,69
2023-10-07,50
2023-10-08,30
2023-10-09,40
2023-10-10,35
2023-10-11,86
2023-10-12,65
2023-10-13,64
2023-10-14,20
2023-10-15,13
2023-10-16,100
2023-10-17,64
2023-10-18,91
2023-10-19,77
2023-10-20,71
2023-10-21,20
2023-10-22,16
2023-10-23,98
2023-10-24,69
2023-10-25,82
2023-10-26,89
2023-10-27,94
2023-10-28,31
2023-10-29,21
2023-10-30,0
2023-10-31,57
2023-11-01,72
