類別：所有類別

天,華立: (台灣)
2023-10-05,91
2023-10-06,68
2023-10-07,24
2023-10-08,59
2023-10-09,45
2023-10-10,29
2023-10-11,100
2023-10-12,76
2023-10-13,59
2023-10-14,35
2023-10-15,31
2023-10-16,78
2023-10-17,86
2023-10-18,72
2023-10-19,63
2023-10-20,75
2023-10-21,64
2023-10-22,38
2023-10-23,77
2023-10-24,80
2023-10-25,59
2023-10-26,68
2023-10-27,91
2023-10-28,53
2023-10-29,53
2023-10-30,0
2023-10-31,99
2023-11-01,80
