類別：所有類別

天,台泥: (台灣)
2023-10-04,56
2023-10-05,60
2023-10-06,48
2023-10-07,15
2023-10-08,12
2023-10-09,33
2023-10-10,9
2023-10-11,73
2023-10-12,68
2023-10-13,84
2023-10-14,26
2023-10-15,19
2023-10-16,57
2023-10-17,49
2023-10-18,100
2023-10-19,96
2023-10-20,71
2023-10-21,30
2023-10-22,26
2023-10-23,79
2023-10-24,55
2023-10-25,81
2023-10-26,56
2023-10-27,53
2023-10-28,15
2023-10-29,16
2023-10-30,0
2023-10-31,53
