類別：所有類別

天,楠梓電: (台灣)
2023-10-05,0
2023-10-06,0
2023-10-07,100
2023-10-08,0
2023-10-09,0
2023-10-10,0
2023-10-11,0
2023-10-12,0
2023-10-13,0
2023-10-14,0
2023-10-15,78
2023-10-16,0
2023-10-17,63
2023-10-18,0
2023-10-19,62
2023-10-20,62
2023-10-21,0
2023-10-22,59
2023-10-23,0
2023-10-24,0
2023-10-25,63
2023-10-26,48
2023-10-27,0
2023-10-28,58
2023-10-29,0
2023-10-30,0
2023-10-31,34
2023-11-01,0
