類別：所有類別

天,誠美材: (台灣)
2023-10-06,0
2023-10-07,33
2023-10-08,0
2023-10-09,0
2023-10-10,0
2023-10-11,37
2023-10-12,28
2023-10-13,16
2023-10-14,22
2023-10-15,0
2023-10-16,0
2023-10-17,100
2023-10-18,20
2023-10-19,80
2023-10-20,35
2023-10-21,16
2023-10-22,0
2023-10-23,40
2023-10-24,36
2023-10-25,20
2023-10-26,25
2023-10-27,76
2023-10-28,0
2023-10-29,35
2023-10-30,0
2023-10-31,0
2023-11-01,58
2023-11-02,0
