類別：所有類別

天,友達: (台灣)
2023-10-05,65
2023-10-06,82
2023-10-07,29
2023-10-08,32
2023-10-09,32
2023-10-10,34
2023-10-11,92
2023-10-12,83
2023-10-13,63
2023-10-14,26
2023-10-15,29
2023-10-16,85
2023-10-17,63
2023-10-18,75
2023-10-19,100
2023-10-20,72
2023-10-21,20
2023-10-22,27
2023-10-23,72
2023-10-24,45
2023-10-25,87
2023-10-26,62
2023-10-27,70
2023-10-28,23
2023-10-29,19
2023-10-30,0
2023-10-31,82
2023-11-01,71
