類別：所有類別

天,光聯: (台灣)
2023-10-06,73
2023-10-07,28
2023-10-08,23
2023-10-09,51
2023-10-10,23
2023-10-11,70
2023-10-12,68
2023-10-13,49
2023-10-14,0
2023-10-15,33
2023-10-16,98
2023-10-17,98
2023-10-18,39
2023-10-19,100
2023-10-20,78
2023-10-21,33
2023-10-22,23
2023-10-23,48
2023-10-24,0
2023-10-25,54
2023-10-26,89
2023-10-27,30
2023-10-28,25
2023-10-29,0
2023-10-30,0
2023-10-31,32
2023-11-01,20
2023-11-02,0
