類別：所有類別

天,中鋼: (台灣)
2023-10-05,77
2023-10-06,81
2023-10-07,30
2023-10-08,21
2023-10-09,23
2023-10-10,21
2023-10-11,84
2023-10-12,76
2023-10-13,76
2023-10-14,23
2023-10-15,21
2023-10-16,84
2023-10-17,82
2023-10-18,75
2023-10-19,80
2023-10-20,74
2023-10-21,23
2023-10-22,20
2023-10-23,89
2023-10-24,77
2023-10-25,85
2023-10-26,100
2023-10-27,79
2023-10-28,20
2023-10-29,15
2023-10-30,0
2023-10-31,72
2023-11-01,76
