類別：所有類別

天,皇翔: (台灣)
2023-10-05,0
2023-10-06,38
2023-10-07,22
2023-10-08,20
2023-10-09,40
2023-10-10,0
2023-10-11,0
2023-10-12,57
2023-10-13,32
2023-10-14,58
2023-10-15,0
2023-10-16,51
2023-10-17,42
2023-10-18,40
2023-10-19,23
2023-10-20,92
2023-10-21,81
2023-10-22,50
2023-10-23,100
2023-10-24,50
2023-10-25,0
2023-10-26,29
2023-10-27,29
2023-10-28,66
2023-10-29,53
2023-10-30,0
2023-10-31,32
2023-11-01,22
