類別：所有類別

天,聯合: (台灣)
2023-10-06,80
2023-10-07,65
2023-10-08,57
2023-10-09,67
2023-10-10,66
2023-10-11,95
2023-10-12,96
2023-10-13,89
2023-10-14,71
2023-10-15,75
2023-10-16,100
2023-10-17,93
2023-10-18,92
2023-10-19,96
2023-10-20,88
2023-10-21,64
2023-10-22,67
2023-10-23,91
2023-10-24,91
2023-10-25,99
2023-10-26,90
2023-10-27,96
2023-10-28,69
2023-10-29,70
2023-10-30,0
2023-10-31,92
2023-11-01,96
2023-11-02,94
