類別：所有類別

天,泰博: (台灣)
2023-10-06,0
2023-10-07,0
2023-10-08,0
2023-10-09,0
2023-10-10,0
2023-10-11,0
2023-10-12,37
2023-10-13,40
2023-10-14,0
2023-10-15,0
2023-10-16,56
2023-10-17,38
2023-10-18,75
2023-10-19,42
2023-10-20,100
2023-10-21,0
2023-10-22,0
2023-10-23,0
2023-10-24,38
2023-10-25,40
2023-10-26,43
2023-10-27,37
2023-10-28,0
2023-10-29,0
2023-10-30,0
2023-10-31,0
2023-11-01,65
2023-11-02,53
