類別：所有類別

天,華泰: (台灣)
2023-10-05,54
2023-10-06,59
2023-10-07,76
2023-10-08,100
2023-10-09,81
2023-10-10,57
2023-10-11,59
2023-10-12,53
2023-10-13,45
2023-10-14,60
2023-10-15,59
2023-10-16,53
2023-10-17,40
2023-10-18,45
2023-10-19,45
2023-10-20,46
2023-10-21,58
2023-10-22,55
2023-10-23,56
2023-10-24,41
2023-10-25,49
2023-10-26,67
2023-10-27,63
2023-10-28,60
2023-10-29,58
2023-10-30,0
2023-10-31,51
2023-11-01,48
