類別：所有類別

天,景碩: (台灣)
2023-10-05,100
2023-10-06,25
2023-10-07,55
2023-10-08,0
2023-10-09,20
2023-10-10,0
2023-10-11,64
2023-10-12,52
2023-10-13,75
2023-10-14,61
2023-10-15,0
2023-10-16,36
2023-10-17,0
2023-10-18,0
2023-10-19,94
2023-10-20,59
2023-10-21,0
2023-10-22,0
2023-10-23,62
2023-10-24,42
2023-10-25,76
2023-10-26,53
2023-10-27,45
2023-10-28,25
2023-10-29,0
2023-10-30,0
2023-10-31,57
2023-11-01,61
