類別：所有類別

天,永豐金: (台灣)
2023-10-05,55
2023-10-06,43
2023-10-07,11
2023-10-08,12
2023-10-09,16
2023-10-10,0
2023-10-11,95
2023-10-12,60
2023-10-13,66
2023-10-14,20
2023-10-15,32
2023-10-16,72
2023-10-17,54
2023-10-18,64
2023-10-19,100
2023-10-20,50
2023-10-21,24
2023-10-22,10
2023-10-23,69
2023-10-24,55
2023-10-25,76
2023-10-26,93
2023-10-27,70
2023-10-28,18
2023-10-29,24
2023-10-30,0
2023-10-31,42
2023-11-01,60
