類別：所有類別

天,漢來美食: (台灣)
2023-10-04,57
2023-10-05,0
2023-10-06,59
2023-10-07,99
2023-10-08,86
2023-10-09,0
2023-10-10,29
2023-10-11,0
2023-10-12,70
2023-10-13,28
2023-10-14,27
2023-10-15,0
2023-10-16,0
2023-10-17,70
2023-10-18,74
2023-10-19,0
2023-10-20,42
2023-10-21,35
2023-10-22,0
2023-10-23,26
2023-10-24,39
2023-10-25,0
2023-10-26,65
2023-10-27,100
2023-10-28,0
2023-10-29,0
2023-10-30,0
2023-10-31,58
