類別：所有類別

天,友華: (台灣)
2023-10-06,0
2023-10-07,0
2023-10-08,0
2023-10-09,0
2023-10-10,0
2023-10-11,32
2023-10-12,0
2023-10-13,25
2023-10-14,0
2023-10-15,35
2023-10-16,47
2023-10-17,0
2023-10-18,98
2023-10-19,0
2023-10-20,0
2023-10-21,58
2023-10-22,0
2023-10-23,0
2023-10-24,44
2023-10-25,40
2023-10-26,100
2023-10-27,91
2023-10-28,0
2023-10-29,58
2023-10-30,0
2023-10-31,0
2023-11-01,30
2023-11-02,0
