類別：所有類別

天,新光鋼: (台灣)
2023-10-05,55
2023-10-06,43
2023-10-07,79
2023-10-08,0
2023-10-09,0
2023-10-10,0
2023-10-11,29
2023-10-12,72
2023-10-13,50
2023-10-14,15
2023-10-15,0
2023-10-16,41
2023-10-17,63
2023-10-18,55
2023-10-19,17
2023-10-20,33
2023-10-21,0
2023-10-22,0
2023-10-23,100
2023-10-24,40
2023-10-25,48
2023-10-26,88
2023-10-27,30
2023-10-28,31
2023-10-29,39
2023-10-30,0
2023-10-31,32
2023-11-01,42
