類別：所有類別

天,台灣高鐵: (台灣)
2023-10-05,87
2023-10-06,96
2023-10-07,69
2023-10-08,50
2023-10-09,66
2023-10-10,100
2023-10-11,66
2023-10-12,63
2023-10-13,72
2023-10-14,52
2023-10-15,65
2023-10-16,82
2023-10-17,57
2023-10-18,81
2023-10-19,61
2023-10-20,68
2023-10-21,58
2023-10-22,76
2023-10-23,71
2023-10-24,74
2023-10-25,69
2023-10-26,94
2023-10-27,83
2023-10-28,50
2023-10-29,88
2023-10-30,0
2023-10-31,66
2023-11-01,59
