類別：所有類別

天,中連: (台灣)
2023-10-06,57
2023-10-07,100
2023-10-08,65
2023-10-09,52
2023-10-10,43
2023-10-11,89
2023-10-12,76
2023-10-13,41
2023-10-14,54
2023-10-15,46
2023-10-16,47
2023-10-17,69
2023-10-18,47
2023-10-19,32
2023-10-20,50
2023-10-21,38
2023-10-22,74
2023-10-23,68
2023-10-24,51
2023-10-25,38
2023-10-26,43
2023-10-27,50
2023-10-28,43
2023-10-29,49
2023-10-30,0
2023-10-31,37
2023-11-01,22
2023-11-02,40
