類別：所有類別

天,光洋科: (台灣)
2023-10-05,52
2023-10-06,66
2023-10-07,14
2023-10-08,0
2023-10-09,0
2023-10-10,0
2023-10-11,40
2023-10-12,14
2023-10-13,16
2023-10-14,0
2023-10-15,19
2023-10-16,61
2023-10-17,44
2023-10-18,29
2023-10-19,20
2023-10-20,36
2023-10-21,0
2023-10-22,0
2023-10-23,41
2023-10-24,67
2023-10-25,75
2023-10-26,43
2023-10-27,100
2023-10-28,0
2023-10-29,0
2023-10-30,0
2023-10-31,39
2023-11-01,20
