類別：所有類別

天,厚生: (台灣)
2023-10-05,20
2023-10-06,15
2023-10-07,24
2023-10-08,47
2023-10-09,41
2023-10-10,0
2023-10-11,31
2023-10-12,18
2023-10-13,20
2023-10-14,0
2023-10-15,35
2023-10-16,33
2023-10-17,100
2023-10-18,0
2023-10-19,0
2023-10-20,67
2023-10-21,0
2023-10-22,25
2023-10-23,34
2023-10-24,46
2023-10-25,26
2023-10-26,39
2023-10-27,91
2023-10-28,0
2023-10-29,0
2023-10-30,0
2023-10-31,0
2023-11-01,57
