類別：所有類別

天,寬魚國際: (台灣)
2023-10-07,0
2023-10-08,71
2023-10-09,43
2023-10-10,0
2023-10-11,0
2023-10-12,0
2023-10-13,39
2023-10-14,56
2023-10-15,0
2023-10-16,0
2023-10-17,0
2023-10-18,0
2023-10-19,100
2023-10-20,0
2023-10-21,0
2023-10-22,0
2023-10-23,0
2023-10-24,0
2023-10-25,0
2023-10-26,0
2023-10-27,41
2023-10-28,0
2023-10-29,0
2023-10-30,0
2023-10-31,51
2023-11-01,0
2023-11-02,36
2023-11-03,0
