類別：所有類別

天,強新: (台灣)
2023-10-06,25
2023-10-07,0
2023-10-08,0
2023-10-09,73
2023-10-10,37
2023-10-11,29
2023-10-12,70
2023-10-13,30
2023-10-14,42
2023-10-15,35
2023-10-16,63
2023-10-17,100
2023-10-18,0
2023-10-19,54
2023-10-20,35
2023-10-21,54
2023-10-22,54
2023-10-23,73
2023-10-24,0
2023-10-25,41
2023-10-26,31
2023-10-27,32
2023-10-28,0
2023-10-29,0
2023-10-30,0
2023-10-31,26
2023-11-01,59
2023-11-02,25
