類別：所有類別

天,士開: (台灣)
2023-10-06,0
2023-10-07,20
2023-10-08,23
2023-10-09,19
2023-10-10,23
2023-10-11,42
2023-10-12,23
2023-10-13,23
2023-10-14,21
2023-10-15,0
2023-10-16,0
2023-10-17,25
2023-10-18,31
2023-10-19,100
2023-10-20,26
2023-10-21,49
2023-10-22,0
2023-10-23,27
2023-10-24,29
2023-10-25,0
2023-10-26,17
2023-10-27,0
2023-10-28,0
2023-10-29,0
2023-10-30,0
2023-10-31,15
2023-11-01,0
2023-11-02,49
