類別：所有類別

天,欣興: (台灣)
2023-10-05,79
2023-10-06,68
2023-10-07,15
2023-10-08,21
2023-10-09,22
2023-10-10,21
2023-10-11,93
2023-10-12,64
2023-10-13,85
2023-10-14,20
2023-10-15,13
2023-10-16,82
2023-10-17,70
2023-10-18,75
2023-10-19,78
2023-10-20,77
2023-10-21,12
2023-10-22,18
2023-10-23,71
2023-10-24,100
2023-10-25,65
2023-10-26,87
2023-10-27,72
2023-10-28,27
2023-10-29,20
2023-10-30,0
2023-10-31,83
2023-11-01,53
