類別：所有類別

天,華友聯: (台灣)
2023-10-04,35
2023-10-05,45
2023-10-06,35
2023-10-07,36
2023-10-08,68
2023-10-09,47
2023-10-10,84
2023-10-11,0
2023-10-12,0
2023-10-13,100
2023-10-14,0
2023-10-15,86
2023-10-16,65
2023-10-17,0
2023-10-18,48
2023-10-19,0
2023-10-20,0
2023-10-21,0
2023-10-22,0
2023-10-23,43
2023-10-24,47
2023-10-25,0
2023-10-26,27
2023-10-27,28
2023-10-28,0
2023-10-29,67
2023-10-30,0
2023-10-31,0
