類別：所有類別

天,科懋: (台灣)
2023-10-07,0
2023-10-08,0
2023-10-09,0
2023-10-10,0
2023-10-11,45
2023-10-12,86
2023-10-13,0
2023-10-14,0
2023-10-15,0
2023-10-16,46
2023-10-17,70
2023-10-18,0
2023-10-19,68
2023-10-20,69
2023-10-21,40
2023-10-22,0
2023-10-23,0
2023-10-24,58
2023-10-25,0
2023-10-26,0
2023-10-27,38
2023-10-28,0
2023-10-29,100
2023-10-30,0
2023-10-31,0
2023-11-01,62
2023-11-02,98
2023-11-03,0
