類別：所有類別

天,第一店: (台灣)
2023-10-05,47
2023-10-06,52
2023-10-07,52
2023-10-08,22
2023-10-09,71
2023-10-10,77
2023-10-11,23
2023-10-12,51
2023-10-13,26
2023-10-14,59
2023-10-15,71
2023-10-16,48
2023-10-17,31
2023-10-18,47
2023-10-19,84
2023-10-20,99
2023-10-21,100
2023-10-22,93
2023-10-23,99
2023-10-24,77
2023-10-25,63
2023-10-26,80
2023-10-27,65
2023-10-28,54
2023-10-29,79
2023-10-30,0
2023-10-31,54
2023-11-01,45
