類別：所有類別

天,台肥: (台灣)
2023-10-05,51
2023-10-06,100
2023-10-07,23
2023-10-08,38
2023-10-09,27
2023-10-10,25
2023-10-11,70
2023-10-12,54
2023-10-13,26
2023-10-14,36
2023-10-15,94
2023-10-16,57
2023-10-17,48
2023-10-18,21
2023-10-19,55
2023-10-20,17
2023-10-21,0
2023-10-22,43
2023-10-23,33
2023-10-24,38
2023-10-25,51
2023-10-26,44
2023-10-27,57
2023-10-28,12
2023-10-29,18
2023-10-30,0
2023-10-31,56
2023-11-01,45
