類別：所有類別

天,味全: (台灣)
2023-10-04,33
2023-10-05,30
2023-10-06,44
2023-10-07,54
2023-10-08,100
2023-10-09,78
2023-10-10,32
2023-10-11,55
2023-10-12,49
2023-10-13,40
2023-10-14,62
2023-10-15,54
2023-10-16,33
2023-10-17,36
2023-10-18,48
2023-10-19,75
2023-10-20,90
2023-10-21,61
2023-10-22,60
2023-10-23,68
2023-10-24,70
2023-10-25,47
2023-10-26,44
2023-10-27,78
2023-10-28,35
2023-10-29,56
2023-10-30,0
2023-10-31,64
