類別：所有類別

天,尼克森: (台灣)
2023-10-06,22
2023-10-07,0
2023-10-08,24
2023-10-09,0
2023-10-10,0
2023-10-11,0
2023-10-12,60
2023-10-13,49
2023-10-14,0
2023-10-15,55
2023-10-16,24
2023-10-17,25
2023-10-18,34
2023-10-19,39
2023-10-20,0
2023-10-21,0
2023-10-22,0
2023-10-23,0
2023-10-24,21
2023-10-25,18
2023-10-26,0
2023-10-27,18
2023-10-28,0
2023-10-29,100
2023-10-30,0
2023-10-31,0
2023-11-01,21
2023-11-02,0
