類別：所有類別

天,第一金: (台灣)
2023-10-05,90
2023-10-06,70
2023-10-07,31
2023-10-08,19
2023-10-09,42
2023-10-10,42
2023-10-11,94
2023-10-12,61
2023-10-13,56
2023-10-14,29
2023-10-15,13
2023-10-16,70
2023-10-17,75
2023-10-18,73
2023-10-19,81
2023-10-20,100
2023-10-21,58
2023-10-22,34
2023-10-23,60
2023-10-24,79
2023-10-25,72
2023-10-26,75
2023-10-27,58
2023-10-28,31
2023-10-29,27
2023-10-30,0
2023-10-31,63
2023-11-01,65
