類別：所有類別

天,建大: (台灣)
2023-10-05,48
2023-10-06,68
2023-10-07,60
2023-10-08,40
2023-10-09,43
2023-10-10,48
2023-10-11,76
2023-10-12,48
2023-10-13,61
2023-10-14,33
2023-10-15,68
2023-10-16,84
2023-10-17,71
2023-10-18,100
2023-10-19,90
2023-10-20,64
2023-10-21,41
2023-10-22,40
2023-10-23,68
2023-10-24,66
2023-10-25,62
2023-10-26,79
2023-10-27,51
2023-10-28,38
2023-10-29,43
2023-10-30,0
2023-10-31,52
2023-11-01,72
