類別：所有類別

天,和碩: (台灣)
2023-10-06,90
2023-10-07,0
2023-10-08,22
2023-10-09,27
2023-10-10,12
2023-10-11,86
2023-10-12,70
2023-10-13,74
2023-10-14,45
2023-10-15,20
2023-10-16,78
2023-10-17,94
2023-10-18,67
2023-10-19,100
2023-10-20,92
2023-10-21,19
2023-10-22,35
2023-10-23,76
2023-10-24,40
2023-10-25,50
2023-10-26,77
2023-10-27,45
2023-10-28,14
2023-10-29,12
2023-10-30,0
2023-10-31,95
2023-11-01,74
2023-11-02,58
