類別：所有類別

天,太醫: (台灣)
2023-10-06,30
2023-10-07,0
2023-10-08,0
2023-10-09,0
2023-10-10,40
2023-10-11,0
2023-10-12,19
2023-10-13,100
2023-10-14,0
2023-10-15,0
2023-10-16,38
2023-10-17,0
2023-10-18,0
2023-10-19,30
2023-10-20,0
2023-10-21,64
2023-10-22,0
2023-10-23,24
2023-10-24,35
2023-10-25,48
2023-10-26,0
2023-10-27,40
2023-10-28,0
2023-10-29,0
2023-10-30,0
2023-10-31,21
2023-11-01,42
2023-11-02,0
