類別：所有類別

天,宏碁: (台灣)
2023-10-05,76
2023-10-06,51
2023-10-07,35
2023-10-08,21
2023-10-09,32
2023-10-10,21
2023-10-11,100
2023-10-12,74
2023-10-13,63
2023-10-14,23
2023-10-15,25
2023-10-16,71
2023-10-17,48
2023-10-18,64
2023-10-19,82
2023-10-20,64
2023-10-21,26
2023-10-22,45
2023-10-23,67
2023-10-24,57
2023-10-25,61
2023-10-26,52
2023-10-27,47
2023-10-28,21
2023-10-29,25
2023-10-30,0
2023-10-31,63
2023-11-01,64
