類別：所有類別

天,愛普: (台灣)
2023-10-07,33
2023-10-08,34
2023-10-09,33
2023-10-10,14
2023-10-11,46
2023-10-12,95
2023-10-13,68
2023-10-14,24
2023-10-15,13
2023-10-16,50
2023-10-17,47
2023-10-18,22
2023-10-19,52
2023-10-20,25
2023-10-21,50
2023-10-22,10
2023-10-23,34
2023-10-24,55
2023-10-25,31
2023-10-26,33
2023-10-27,40
2023-10-28,34
2023-10-29,43
2023-10-30,0
2023-10-31,64
2023-11-01,48
2023-11-02,100
2023-11-03,83
