類別：所有類別

天,新光金: (台灣)
2023-10-05,83
2023-10-06,62
2023-10-07,23
2023-10-08,42
2023-10-09,36
2023-10-10,37
2023-10-11,86
2023-10-12,96
2023-10-13,85
2023-10-14,25
2023-10-15,15
2023-10-16,74
2023-10-17,84
2023-10-18,60
2023-10-19,78
2023-10-20,71
2023-10-21,19
2023-10-22,21
2023-10-23,100
2023-10-24,67
2023-10-25,75
2023-10-26,74
2023-10-27,54
2023-10-28,17
2023-10-29,13
2023-10-30,0
2023-10-31,64
2023-11-01,63
