類別：所有類別

天,和康生: (台灣)
2023-10-05,42
2023-10-06,37
2023-10-07,0
2023-10-08,0
2023-10-09,56
2023-10-10,37
2023-10-11,37
2023-10-12,38
2023-10-13,37
2023-10-14,0
2023-10-15,46
2023-10-16,0
2023-10-17,0
2023-10-18,0
2023-10-19,0
2023-10-20,47
2023-10-21,95
2023-10-22,0
2023-10-23,40
2023-10-24,0
2023-10-25,0
2023-10-26,0
2023-10-27,0
2023-10-28,0
2023-10-29,41
2023-10-30,0
2023-10-31,100
2023-11-01,53
