類別：所有類別

天,安心: (台灣)
2023-10-04,40
2023-10-05,42
2023-10-06,55
2023-10-07,50
2023-10-08,39
2023-10-09,46
2023-10-10,85
2023-10-11,100
2023-10-12,65
2023-10-13,41
2023-10-14,46
2023-10-15,48
2023-10-16,62
2023-10-17,53
2023-10-18,52
2023-10-19,39
2023-10-20,47
2023-10-21,97
2023-10-22,85
2023-10-23,63
2023-10-24,66
2023-10-25,71
2023-10-26,72
2023-10-27,62
2023-10-28,48
2023-10-29,53
2023-10-30,0
2023-10-31,65
