類別：所有類別

天,國票金: (台灣)
2023-10-05,18
2023-10-06,100
2023-10-07,41
2023-10-08,0
2023-10-09,0
2023-10-10,0
2023-10-11,33
2023-10-12,0
2023-10-13,73
2023-10-14,28
2023-10-15,29
2023-10-16,0
2023-10-17,42
2023-10-18,20
2023-10-19,50
2023-10-20,64
2023-10-21,18
2023-10-22,21
2023-10-23,54
2023-10-24,43
2023-10-25,18
2023-10-26,41
2023-10-27,52
2023-10-28,0
2023-10-29,0
2023-10-30,0
2023-10-31,59
2023-11-01,20
