類別：所有類別

天,新建: (台灣)
2023-10-05,51
2023-10-06,50
2023-10-07,48
2023-10-08,57
2023-10-09,60
2023-10-10,61
2023-10-11,71
2023-10-12,67
2023-10-13,72
2023-10-14,55
2023-10-15,79
2023-10-16,85
2023-10-17,63
2023-10-18,53
2023-10-19,76
2023-10-20,71
2023-10-21,54
2023-10-22,66
2023-10-23,100
2023-10-24,63
2023-10-25,73
2023-10-26,66
2023-10-27,72
2023-10-28,59
2023-10-29,80
2023-10-30,0
2023-10-31,75
2023-11-01,70
