類別：所有類別

天,智易: (台灣)
2023-10-06,50
2023-10-07,0
2023-10-08,90
2023-10-09,0
2023-10-10,48
2023-10-11,29
2023-10-12,42
2023-10-13,30
2023-10-14,0
2023-10-15,0
2023-10-16,20
2023-10-17,40
2023-10-18,16
2023-10-19,31
2023-10-20,43
2023-10-21,71
2023-10-22,0
2023-10-23,28
2023-10-24,69
2023-10-25,0
2023-10-26,37
2023-10-27,100
2023-10-28,25
2023-10-29,0
2023-10-30,0
2023-10-31,63
2023-11-01,100
2023-11-02,79
