類別：所有類別

天,嘉里大榮: (台灣)
2023-10-05,77
2023-10-06,56
2023-10-07,69
2023-10-08,36
2023-10-09,50
2023-10-10,20
2023-10-11,78
2023-10-12,78
2023-10-13,100
2023-10-14,50
2023-10-15,41
2023-10-16,48
2023-10-17,96
2023-10-18,54
2023-10-19,62
2023-10-20,67
2023-10-21,77
2023-10-22,17
2023-10-23,42
2023-10-24,66
2023-10-25,44
2023-10-26,28
2023-10-27,67
2023-10-28,15
2023-10-29,25
2023-10-30,0
2023-10-31,30
2023-11-01,27
