類別：所有類別

天,旺宏: (台灣)
2023-10-05,37
2023-10-06,40
2023-10-07,7
2023-10-08,15
2023-10-09,5
2023-10-10,11
2023-10-11,38
2023-10-12,24
2023-10-13,36
2023-10-14,7
2023-10-15,6
2023-10-16,18
2023-10-17,25
2023-10-18,38
2023-10-19,20
2023-10-20,22
2023-10-21,13
2023-10-22,0
2023-10-23,27
2023-10-24,26
2023-10-25,100
2023-10-26,39
2023-10-27,44
2023-10-28,10
2023-10-29,11
2023-10-30,0
2023-10-31,38
2023-11-01,25
